iter	Passed	Remaining
680	39161	47096
681	39208	47027
682	39254	46956
683	39298	46882
684	39343	46810
685	39391	46741
686	39462	46700
687	39529	46653
688	39583	46592
689	39632	46525
690	39683	46459
691	39733	46394
692	39786	46331
693	39839	46269
694	39893	46207
695	39945	46144
696	39992	46075
697	40044	46010
698	40094	45945
699	40156	45892
700	40208	45829
701	40258	45763
702	40310	45700
703	40361	45635
704	40417	45577
705	40482	45528
706	40541	45472
707	40591	45407
708	40641	45342
709	40690	45275
710	40746	45216
711	40813	45170
712	40875	45117
713	40925	45052
714	40977	44988
715	41026	44922
716	41075	44857
717	41126	44792
718	41180	44731
719	41228	44664
720	41281	44602
721	41342	44548
722	41402	44494
723	41487	44466
724	41564	44430
725	41621	44373
726	41672	44309
727	41729	44252
728	41792	44200
729	41865	44159
730	41916	44095
731	41971	44035
732	42026	43975
733	42086	43920
734	42144	43864
735	42196	43801
736	42249	43739
737	42302	43678
738	42352	43613
739	42403	43549
740	42455	43486
741	42507	43423
742	42557	43359
743	42606	43293
744	42673	43246
745	42763	43222
746	42823	43167
747	42881	43110
748	42931	43046
749	42990	42990
750	43088	42974
751	43193	42963
752	43292	42947
753	43370	42909
754	43430	42855
755	43499	42809
756	43564	42758
757	43619	42698
758	43695	42659
759	43750	42598
760	43799	42533
761	43850	42469
762	43901	42405
763	43951	42340
764	44000	42274
765	44048	42207
766	44098	42143
767	44145	42075
768	44191	42007
769	44240	41942
770	44288	41876
771	44337	41810
772	44390	41749
773	44444	41687
774	44507	41636
775	44617	41627
776	44680	41574
777	44727	41507
778	44775	41441
779	44829	41381
780	44930	41363
781	44989	41307
782	45043	41246
783	45113	41200
784	45185	41156
785	45281	41133
786	45364	41098
787	45424	41043
788	45495	40997
789	45575	40960
790	45635	40904
791	45696	40849
792	45790	40824
793	45907	40819
794	46003	40795
795	46098	40770
796	46151	40707
797	46200	40642
798	46248	40576
799	46305	40517
800	46356	40453
801	46411	40393
802	46468	40334
803	46587	40329
804	46645	40271
805	46695	40207
806	46748	40144
807	46816	40095
808	46914	40071
809	46979	40019
810	47044	39967
811	47101	39909
812	47149	39842
813	47196	39774
814	47246	39710
815	47292	39642
816	47352	39586
817	47407	39525
818	47460	39463
819	47509	39398
820	47558	39332
821	47612	39271
822	47659	39204
823	47719	39148
824	47800	39109
825	47919	39101
826	47986	39050
827	48038	38988
828	48085	38921
829	48136	38857
830	48212	38813
831	48297	38777
832	48346	38712
833	48403	38653
834	48459	38593
835	48535	38549
836	48612	38507
837	48671	38449
838	48720	38384
839	48776	38324
840	48830	38263
841	48880	38198
842	48930	38134
843	48984	38073
844	49036	38010
845	49121	37973
846	49185	37920
847	49235	37855
848	49285	37791
849	49333	37725
850	49381	37660
851	49434	37597
852	49497	37543
853	49565	37493
854	49616	37430
855	49668	37367
856	49721	37305
857	49774	37244
858	49825	37180
859	49872	37114
860	49929	37056
861	49986	36997
862	50040	36935
863	50091	36873
864	50144	36810
865	50196	36748
866	50247	36685
867	50299	36623
868	50355	36563
869	50424	36514
870	50480	36454
871	50530	36391
872	50581	36328
873	50633	36266
874	50686	36204
875	50740	36144
876	50825	36105
877	50920	36073
878	50995	36027
879	51057	35972
880	51151	35939
881	51211	35883
882	51264	35821
883	51314	35757
884	51363	35693
885	51412	35629
886	51466	35567
887	51558	35533
888	51617	35476
889	51665	35411
890	51714	35347
891	51762	35281
892	51810	35217
893	51859	35152
894	51910	35090
895	51957	35025
896	52021	34971
897	52077	34911
898	52127	34848
899	52178	34785
900	52229	34723
901	52278	34659
902	52329	34596
903	52381	34535
904	52453	34485
905	52573	34468
906	52678	34441
907	52755	34395
908	52807	34333
909	52858	34270
910	52909	34208
911	52958	34144
912	53005	34079
913	53072	34026
914	53138	33973
915	53194	33914
916	53249	33854
917	53303	33793
918	53354	33730
919	53408	33670
920	53475	33617
921	53574	33585
922	53662	33546
923	53725	33491
924	53780	33431
925	53837	33372
926	53889	33310
927	53948	33252
928	53996	33188
929	54044	33123
930	54089	33058
931	54136	32993
932	54183	32928
933	54234	32866
934	54284	32803
935	54331	32738
936	54385	32677
937	54443	32619
938	54501	32561
939	54555	32500
940	54611	32442
941	54671	32385
942	54720	32321
943	54770	32258
944	54819	32195
945	54869	32133
946	54918	32069
947	54966	32005
948	55017	31943
949	55065	31879
950	55118	31819
951	55196	31772
952	55244	31708
953	55293	31646
954	55345	31584
955	55396	31522
956	55462	31469
957	55528	31415
958	55578	31353
959	55624	31288
960	55673	31225
961	55726	31165
962	55777	31103
963	55829	31042
964	55877	30978
965	55931	30918
966	56000	30866
967	56106	30835
968	56217	30806
969	56282	30752
970	56331	30689
971	56383	30628
972	56445	30572
973	56504	30514
974	56567	30459
975	56622	30399
976	56667	30334
977	56721	30274
978	56779	30216
979	56833	30156
980	56892	30099
981	56953	30042
982	57013	29985
983	57063	29923
984	57115	29862
985	57161	29798
986	57210	29735
987	57267	29676
988	57317	29614
989	57366	29552
990	57419	29491
991	57515	29453
992	57602	29410
993	57653	29348
994	57700	29285
995	57750	29223
996	57799	29160
997	57847	29097
998	57929	29051
999	57996	28998
1000	58064	28945
1001	58159	28905
1002	58236	28856
1003	58316	28809
1004	58415	28771
1005	58501	28727
1006	58557	28668
1007	58606	28605
1008	58656	28543
1009	58706	28481
1010	58757	28419
1011	58839	28373
1012	58926	28328
1013	59007	28281
1014	59070	28225
1015	59142	28174
1016	59199	28115
1017	59251	28054
1018	59302	27992
1019	59351	27930
1020	59402	27868
1021	59450	27805
1022	59499	27743
1023	59558	27685
1024	59611	27624
1025	59658	27561
1026	59708	27499
1027	59758	27437
1028	59805	27374
1029	59888	27327
1030	59956	27274
1031	60019	27217
1032	60070	27156
1033	60119	27094
1034	60169	27032
1035	60221	26971
1036	60274	26911
1037	60322	26848
1038	60371	26786
1039	60421	26724
1040	60471	26663
1041	60519	26600
1042	60566	26537
1043	60615	26475
1044	60666	26414
1045	60713	26351
1046	60761	26289
1047	60811	26227
1048	60859	26165
1049	60909	26104
1050	60968	26046
1051	61026	25988
1052	61089	25932
1053	61141	25872
1054	61192	25811
1055	61246	25751
1056	61294	25689
1057	61343	25627
1058	61390	25565
1059	61441	25504
1060	61489	25441
1061	61536	25379
1062	61605	25325
1063	61668	25270
1064	61723	25210
1065	61779	25152
1066	61844	25097
1067	61892	25035
1068	61938	24972
1069	61987	24910
1070	62031	24847
1071	62078	24785
1072	62128	24723
1073	62182	24664
1074	62235	24604
1075	62286	24544
1076	62338	24483
1077	62386	24422
1078	62436	24361
1079	62483	24299
1080	62533	24238
1081	62584	24177
1082	62632	24116
1083	62683	24055
1084	62743	23998
1085	62792	23937
1086	62849	23879
1087	62932	23831
1088	63009	23780
1089	63073	23724
1090	63129	23666
1091	63183	23607
1092	63236	23547
1093	63288	23487
1094	63337	23426
1095	63386	23365
1096	63437	23304
1097	63488	23244
1098	63540	23184
1099	63596	23125
1100	63651	23067
1101	63705	23007
1102	63758	22948
1103	63814	22889
1104	63868	22830
1105	63917	22769
1106	63964	22708
1107	64010	22646
1108	64056	22584
1109	64102	22522
1110	64149	22461
1111	64201	22401
1112	64249	22340
1113	64298	22279
1114	64349	22219
1115	64399	22158
1116	64452	22099
1117	64500	22038
1118	64547	21977
1119	64599	21917
1120	64657	21860
1121	64712	21801
1122	64831	21764
1123	64911	21714
1124	64962	21654
1125	65012	21593
1126	65070	21536
1127	65119	21475
1128	65171	21415
1129	65220	21355
1130	65270	21295
1131	65322	21235
1132	65381	21178
1133	65447	21123
1134	65526	21072
1135	65582	21014
1136	65634	20954
1137	65680	20893
1138	65728	20832
1139	65776	20771
1140	65823	20710
1141	65870	20649
1142	65916	20588
1143	65963	20526
