DecCrimeFedSpending,interestInElection,PRE_IntentVote,Year,Sex,PartyIDRepublican,IncSpendingServices,WeakReligiousAttendence,WorseEconomyView,AbortionRightsSC,Age,EducationLevel,Income,Race,Region,IncDefenseSpending,IncPrivateMedInsurance,RegistrationStatus,Voted,VotePresident,HH_In_Union,MaritalStatus,FedTaxesNotWasted,DecEmphasisOnTraditionalValues,swing_voter
2,3,1,1972.0,2,4,4,4,5,3,27.0,2,4,1,2,6,7,2,2,1,1,1,1,3,False
1,3,2,1972.0,1,6,3,3,5,3,72.0,4,2,1,4,5,5,2,2,2,2,5,1,1,False
2,3,2,1972.0,1,2,4,5,3,3,73.0,1,4,1,4,4,1,2,2,2,1,1,1,2,False
1,3,2,1972.0,1,1,4,1,4,3,43.0,2,4,1,2,5,7,2,2,2,1,1,1,1,False
2,2,1,1972.0,1,4,3,4,5,4,51.0,2,4,1,2,6,3,2,2,1,2,1,2,2,False
2,3,2,1972.0,1,5,2,4,4,3,51.0,2,3,1,2,6,3,2,2,2,1,1,1,2,False
2,1,2,1972.0,2,2,4,3,5,4,45.0,2,4,1,2,6,7,2,2,1,1,1,1,1,True
1,2,2,1972.0,2,6,3,2,5,3,49.0,2,4,1,1,5,1,2,2,2,2,1,1,1,False
1,3,1,1972.0,2,2,4,5,4,4,47.0,3,4,1,1,6,3,2,1,1,2,3,0,1,False
1,1,1,1972.0,2,2,5,4,4,3,21.0,2,4,2,1,5,7,2,1,1,1,2,1,2,False
1,1,4,1972.0,2,2,4,1,5,3,46.0,1,3,1,2,5,1,1,1,1,1,1,1,1,True
1,2,3,1972.0,1,3,4,1,5,3,26.0,3,4,1,4,5,1,2,2,2,1,1,1,2,True
2,1,4,1972.0,2,4,4,1,4,1,73.0,1,1,1,3,5,7,1,1,1,2,5,0,2,True
2,3,2,1972.0,2,7,3,1,5,1,73.0,2,5,1,2,5,4,2,2,2,2,1,1,1,False
1,1,4,1972.0,2,4,4,1,4,3,32.0,2,3,1,3,6,7,1,1,1,2,2,2,2,True
2,3,2,1972.0,2,7,2,5,4,2,81.0,2,1,1,2,4,1,2,2,2,2,5,2,1,False
2,1,2,1972.0,2,6,2,5,4,3,78.0,1,1,1,2,7,1,2,2,2,2,5,1,2,False
1,3,1,1972.0,2,3,3,4,4,2,76.0,1,1,1,2,5,1,2,2,1,2,5,1,2,False
1,2,1,1972.0,2,2,5,1,4,3,26.0,3,3,1,3,5,1,1,1,1,2,1,1,2,False
2,3,2,1972.0,2,5,2,2,4,3,39.0,3,5,1,2,5,5,2,2,2,1,1,1,2,False
1,2,2,1972.0,2,3,5,3,4,2,22.0,3,1,1,3,5,7,2,2,2,2,1,2,2,False
1,1,1,1972.0,2,1,4,5,4,2,69.0,1,1,2,2,5,2,2,2,1,2,1,1,1,False
1,1,2,1972.0,1,6,2,1,4,2,48.0,2,4,1,2,5,3,2,2,2,2,1,1,1,False
1,2,4,1972.0,2,2,5,1,5,2,63.0,2,3,1,3,6,3,1,1,1,2,1,1,1,True
1,2,2,1972.0,2,2,3,3,3,2,76.0,1,1,1,3,5,0,2,2,2,2,5,1,2,False
2,3,2,1972.0,2,6,3,5,5,4,33.0,2,4,1,2,5,7,2,1,1,2,1,0,2,True
2,2,4,1972.0,1,5,3,4,4,3,23.0,2,1,1,3,6,0,2,1,1,1,2,2,3,True
1,1,4,1972.0,2,7,2,4,5,3,82.0,1,2,1,2,4,7,1,1,1,2,5,0,1,True
2,3,2,1972.0,2,7,2,3,5,3,56.0,2,4,1,2,6,5,2,2,2,2,3,1,1,False
2,3,1,1972.0,2,3,4,3,4,3,41.0,2,4,1,1,6,6,2,2,1,1,1,1,2,False
2,2,1,1972.0,1,1,4,1,5,2,46.0,2,4,2,2,6,4,2,2,1,2,1,1,1,False
1,3,1,1972.0,2,1,3,1,4,2,80.0,2,1,2,2,5,2,2,2,1,2,5,2,1,False
1,2,3,1972.0,2,1,4,1,4,3,40.0,2,4,1,2,5,7,2,2,2,2,1,2,1,True
1,3,2,1972.0,1,5,3,1,5,3,56.0,2,4,1,1,5,3,2,2,2,2,1,1,1,False
1,1,2,1972.0,1,7,4,3,4,3,55.0,1,3,2,1,5,2,2,1,1,2,4,0,1,True
2,3,2,1972.0,2,5,2,4,4,3,31.0,3,5,1,4,6,7,2,2,2,2,1,2,1,False
2,2,2,1972.0,2,5,5,4,5,3,40.0,3,1,1,1,5,1,2,1,1,2,5,2,2,True
2,3,2,1972.0,1,3,3,5,5,3,66.0,1,2,1,1,4,1,2,2,2,2,1,1,2,False
2,1,3,1972.0,1,4,4,4,4,3,58.0,2,3,1,2,5,3,2,2,1,1,1,1,1,True
1,2,2,1972.0,2,4,5,1,4,2,27.0,1,4,1,3,5,4,2,1,1,1,1,1,1,True
1,3,1,1972.0,1,2,3,3,4,3,31.0,3,4,1,3,4,4,2,1,1,2,1,0,2,False
2,2,4,1972.0,2,2,5,4,4,4,17.0,2,3,1,3,4,1,1,1,1,2,2,1,2,True
1,1,1,1972.0,2,2,5,4,4,3,80.0,2,1,1,3,6,4,2,2,2,2,1,2,1,True
