Total population,Total citizen population,Total registered,"Percent registered
(Total)",Registered-Margin of error 1,"Percent registered
(Citizen)",Registered-Margin of error 1.1,Total voted,"Percent voted
(Total)",Voted-Margin of error 1,"Percent voted
(Citizen)",Voted-Margin of error 1.1
398,226,133,33.3,9.6,58.7,13.3,125,31.4,9.4,55.2,13.4
"1,056",980,673,63.8,3.3,68.7,3.3,630,59.7,3.3,64.3,3.4
509,481,333,65.4,4.6,69.3,4.6,313,61.5,4.7,65.2,4.8
546,499,340,62.3,4.6,68.2,4.6,317,57.9,4.6,63.5,4.7
261,246,184,70.5,6.2,74.8,6.1,175,67,6.4,71.1,6.4
228,218,165,72.4,6.5,75.6,6.4,159,69.5,6.7,72.7,6.6
18,18,15,B,B,B,B,11,B,B,B,B
489,436,291,59.5,4.8,66.7,4.9,268,54.8,4.9,61.4,5
71,66,35,B,B,B,B,30,B,B,B,B
374,359,260,69.6,5.2,72.5,5.2,248,66.4,5.4,69.2,5.4
25,25,15,B,B,B,B,11,B,B,B,B
613,561,377,61.4,4.3,67.2,4.3,351,57.3,4.3,62.7,4.4
"1,370","1,299",900,65.7,3.1,69.3,3.1,843,61.6,3.2,64.9,3.2
679,643,434,63.9,4.5,67.5,4.5,410,60.4,4.5,63.8,4.6
691,656,466,67.5,4.3,71.1,4.3,433,62.7,4.5,66,4.5
"1,279","1,227",857,67,3.2,69.8,3.2,806,63,3.3,65.6,3.3
"1,130","1,119",800,70.8,3.3,71.5,3.3,755,66.8,3.4,67.5,3.4
10,7,5,B,B,B,B,4,B,B,B,B
22,12,7,B,B,B,B,5,B,B,B,B
166,119,63,38.1,9.5,53.2,11.6,55,33.1,9.3,46.3,11.6
"1,303","1,252",873,67,3.2,69.8,3.1,822,63,3.2,65.6,3.2
16,13,8,B,B,B,B,7,B,B,B,B
22,12,7,B,B,B,B,5,B,B,B,B
"9,658","8,860","6,590",68.2,2,74.4,1.9,"6,058",62.7,2,68.4,2
"4,671","4,281","3,098",66.3,2.8,72.4,2.8,"2,876",61.6,2.9,67.2,3
"4,987","4,579","3,492",70,2.7,76.3,2.6,"3,182",63.8,2.8,69.5,2.8
"7,551","7,015","5,303",70.2,2.2,75.6,2.1,"4,849",64.2,2.3,69.1,2.3
"6,218","6,075","4,826",77.6,2.2,79.4,2.1,"4,429",71.2,2.4,72.9,2.4
"1,335","1,270",861,64.5,5.2,67.8,5.2,811,60.7,5.3,63.8,5.3
643,452,331,51.5,8,73.3,8.4,313,48.7,8,69.3,8.8
"1,421","1,016",532,37.4,5.5,52.4,6.8,475,33.4,5.4,46.8,6.8
"7,600","7,064","5,331",70.1,2.2,75.5,2.1,"4,873",64.1,2.3,69,2.3
"1,382","1,317",895,64.8,5.1,67.9,5.1,839,60.7,5.2,63.7,5.2
652,461,340,52.2,7.9,73.8,8.3,322,49.4,7.9,69.9,8.7
"5,096","4,921","3,412",67,2.7,69.3,2.7,"3,002",58.9,2.8,61,2.8
"2,463","2,375","1,632",66.2,3.9,68.7,3.9,"1,408",57.2,4.1,59.3,4.1
"2,633","2,546","1,781",67.6,3.7,69.9,3.7,"1,594",60.5,3.9,62.6,3.9
"4,318","4,219","2,967",68.7,2.9,70.3,2.9,"2,601",60.2,3,61.7,3.1
"4,122","4,107","2,904",70.5,2.9,70.7,2.9,"2,546",61.8,3.1,62,3.1
473,467,306,64.7,8.6,65.5,8.6,281,59.5,8.8,60.2,8.8
178,114,76,42.5,14.9,66.1,17.8,68,38.5,14.7,59.9,18.4
225,135,72,32.1,13.3,53.5,18.3,60,26.4,12.6,44,18.2
"4,420","4,315","3,010",68.1,2.9,69.8,2.9,"2,632",59.5,3,61,3
532,520,333,62.7,8.2,64.2,8.2,299,56.3,8.4,57.6,8.5
189,125,76,40,14.4,60.3,17.6,68,36.3,14.1,54.7,17.9
"2,361","2,293","1,742",73.8,3.1,76,3,"1,618",68.5,3.2,70.5,3.2
"1,167","1,133",853,73.2,4.4,75.3,4.3,785,67.3,4.6,69.2,4.6
"1,194","1,160",888,74.4,4.3,76.6,4.2,833,69.7,4.5,71.8,4.5
"2,160","2,125","1,630",75.4,3.1,76.7,3.1,"1,521",70.4,3.3,71.5,3.3
"2,068","2,050","1,603",77.5,3.1,78.2,3.1,"1,496",72.3,3.3,73,3.3
95,87,55,58.6,16.4,63.5,16.6,40,42.6,16.4,46.2,17.2
77,52,36,B,B,B,B,36,B,B,B,B
108,90,42,39.1,16.6,46.8,18.6,40,37,16.5,44.2,18.5
"2,176","2,141","1,645",75.6,3.1,76.9,3.1,"1,536",70.6,3.3,71.8,3.3
110,103,71,64.4,14.7,69,14.7,56,50.7,15.4,54.2,15.9
80,55,39,B,B,B,B,39,B,B,B,B
"2,157","1,975","1,398",64.8,3.5,70.8,3.5,"1,297",60.1,3.6,65.7,3.7
"1,057",969,667,63.1,5.1,68.9,5.1,621,58.7,5.2,64,5.3
"1,101","1,006",731,66.4,4.9,72.7,4.8,676,61.4,5.1,67.2,5.1
"1,867","1,749","1,263",67.7,3.7,72.2,3.7,"1,181",63.3,3.8,67.5,3.9
"1,566","1,556","1,171",74.8,3.8,75.3,3.8,"1,099",70.2,4,70.7,4
106,97,69,65.4,15.2,71.4,15.1,59,55.8,15.9,61,16.3
86,54,13,B,B,B,B,11,B,B,B,B
317,210,108,34.1,9.6,51.5,12.4,96,30.1,9.3,45.5,12.4
"1,916","1,798","1,298",67.7,3.7,72.2,3.6,"1,216",63.5,3.8,67.6,3.8
121,112,82,67.9,14,73.3,13.7,72,59.6,14.7,64.3,14.9
87,55,14,B,B,B,B,12,B,B,B,B
"3,384","3,227","2,450",72.4,3.2,75.9,3.1,"2,210",65.3,3.4,68.5,3.4
"1,616","1,524","1,159",71.7,4.6,76,4.5,"1,057",65.4,4.9,69.4,4.9
"1,768","1,703","1,291",73,4.4,75.8,4.3,"1,153",65.2,4.7,67.7,4.7
"2,994","2,888","2,194",73.3,3.3,76,3.3,"1,997",66.7,3.6,69.1,3.5
"2,845","2,831","2,165",76.1,3.3,76.5,3.3,"1,971",69.3,3.6,69.6,3.6
259,224,167,64.5,11.7,74.6,11.5,140,54,12.2,62.5,12.7
46,31,24,B,B,B,B,24,B,B,B,B
163,60,30,B,B,B,B,26,B,B,B,B
"3,063","2,957","2,243",73.2,3.3,75.8,3.2,"2,035",66.4,3.5,68.8,3.5
306,271,198,64.7,10.8,73,10.6,161,52.5,11.2,59.3,11.8
49,35,24,B,B,B,B,24,B,B,B,B
"3,438","3,299","2,286",66.5,3.2,69.3,3.2,"2,041",59.4,3.3,61.9,3.3
"1,618","1,557","1,073",66.3,4.6,68.9,4.6,959,59.3,4.8,61.6,4.9
