weights,PRE_ThermoBiden,PRE_ThermoTrump,PRE_ThermoHarris,PRE_ThermoPence,PRE_ThermoObama,PRE_ThermoDemParty,PRE_ThermoRepParty,PRE_YearsAtAddress,PRE_SummaryVoteDutyChoice,PRE_PartyID,PRE_ScaleSpendingServices,PRE_CountryDirection,PRE_GovTrust,PRE_EconomyView,Age,Income,HouseholdChildren,PRE_VoteAccuracy,PRE_SurveySeriousness,PRE_ScaleDefenseSpending,PRE_ScaleMedInsurance,PRE_ScaleGovAssistanceBlacks,PRE_ScaleJobIncome,POST_VoteAccuracy,POST_ThermoHarris,POST_ThermoPence,POST_ThermoBiden,POST_ThermoTrump,mentionFox,mentionABC,mentionCNN,interviewMode_Telephone,interviewMode_Web,PRE_VotePresident_Donald Trump,PRE_VotePresident_Jo Jorgensen,PRE_VotePresident_Howie Hawkins,PRE_VotePresident_Other,PRE_RaceOutcomePrediction_Win by quite a bit,PRE_ParentNativeStatus_One parent born in the US,PRE_ParentNativeStatus_Both parents born in another country,Sex_Female,PRE_AbortionRightsSC_Upset,PRE_AbortionRightsSC_Neither pleased nor upset,EducationLevel_High school graduate,EducationLevel_Some college but no degree,EducationLevel_Associate degree - occupational/vocational,EducationLevel_Associate degree - academic,EducationLevel_Bachelor’s degree,EducationLevel_Master’s degree,EducationLevel_Professional/Doctoral degree,"WorkStatus_No, did not work (or retired)","Race_Black, non-Hispanic",Race_Hispanic,"Race_Asian/Pacific Islander, non-Hispanic","Race_Native American/Alaska Native, non-Hispanic","Race_Multiple races, non-Hispanic",StateRegistration_Alaska,StateRegistration_Arizona,StateRegistration_Arkansas,StateRegistration_California,StateRegistration_7,StateRegistration_Colorado,StateRegistration_Connecticut,StateRegistration_Delaware,StateRegistration_Washington DC,StateRegistration_Florida,StateRegistration_Georgia,StateRegistration_14,StateRegistration_Hawaii,StateRegistration_Idaho,StateRegistration_Illinois,StateRegistration_Indiana,StateRegistration_Iowa,StateRegistration_Kansas,StateRegistration_Kentucky,StateRegistration_Louisiana,StateRegistration_Maine,StateRegistration_Maryland,StateRegistration_Massachusetts,StateRegistration_Michigan,StateRegistration_Minnesota,StateRegistration_Mississippi,StateRegistration_Missouri,StateRegistration_Montana,StateRegistration_Nebraska,StateRegistration_Nevada,StateRegistration_New Hampshire,StateRegistration_New Jersey,StateRegistration_New Mexico,StateRegistration_New York,StateRegistration_North Carolina,StateRegistration_North Dakota,StateRegistration_Ohio,StateRegistration_Oklahoma,StateRegistration_Oregon,StateRegistration_Pennsylvania,StateRegistration_43,StateRegistration_Rhode Island,StateRegistration_South Carolina,StateRegistration_South Dakota,StateRegistration_Tennessee,StateRegistration_Texas,StateRegistration_Utah,StateRegistration_Vermont,StateRegistration_Virginia,StateRegistration_Washington,StateRegistration_West Virginia,StateRegistration_Wisconsin,StateRegistration_Wyoming,PRE_PartyMoreHouseMembers_incorrect (R),PRE_FederalSpendingKnowledge_correct (Foreign aid),PRE_CorruptionView_Decreased,PRE_CorruptionView_Stayed the same,POST_Voted2020_Registered and did not vote,POST_Voted2020_Voted,POST_VotePresident_Donald Trump,POST_VotePresident_Jo Jorgensen,POST_VotePresident_Howie Hawkins,POST_ProblemMention_Race relations,POST_ProblemMention_Partisan politics,POST_ProblemMention_Politicians,POST_ProblemMention_Government (all other),POST_ProblemMention_The economy,POST_ProblemMention_Recession,POST_ProblemMention_Elections,POST_ProblemMention_Unity /division,POST_ProblemMention_Health care,POST_ProblemMention_Other
3.62,0,100,0,85,15,10,90,22.0,2,7,4,3,4,2,22.0,18,0,1,5,4,7,6,7,3,15,85,22,60,0,0,0,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
1.92,85,0,70,0,100,85,0,5.0,1,3,7,1,4,4,59.8,16,0,3,5,2,3,3,4,2,100,0,100,0,0,0,0,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.5,100,0,100,0,100,100,0,28.0,1,1,5,1,2,3,50.0,1,0,5,5,4,1,1,1,1,100,0,100,0,0,0,1,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1.8,60,0,0,0,40,0,0,0.0,4,4,7,3,5,5,29.0,13,0,5,5,3,7,2,2,1,60,0,60,0,0,0,0,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.21,40,50,30,60,40,30,50,5.0,5,5,4,3,3,3,35.0,4,0,3,4,4,4,5,4,3,0,60,30,50,0,0,0,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
0.33,60,0,70,50,60,70,40,35.0,1,2,4,2,3,3,63.0,8,0,4,4,4,3,3,2,2,80,0,80,0,1,0,1,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
3.83,0,100,0,100,0,0,100,21.0,7,7,5,4,2,2,21.0,11,1,4,5,7,3,5,2,4,40,85,70,60,0,0,0,False,True,True,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.45,50,100,32,84,40,15,85,10.0,7,2,6,3,2,4,64.0,5,1,3,5,6,5,5,5,4,11,70,13,78,0,0,1,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1.78,0,100,0,100,0,0,85,2.0,6,7,3,2,2,3,60.0,13,0,1,5,6,1,7,1,2,15,100,0,100,0,1,0,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
1.15,70,0,100,0,85,40,15,8.0,5,4,2,2,4,5,41.0,1,0,4,3,3,4,4,4,3,60,0,70,0,0,0,1,False,True,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
